 adcode , adname , centerx    , centery    
110100, 北京市市辖区 ,116.399042,39.903586
120100, 天津市市辖区 ,117.18385,39.124537
130100, 石家庄市 ,114.496411,38.044801
130200, 唐山市 ,118.169083,39.633785
130300, 秦皇岛市 ,119.580787,39.941417
130400, 邯郸市 ,114.484749,36.612048
130500, 邢台市 ,114.502939,37.067719
130600, 保定市 ,115.476053,38.866791
130700, 张家口市 ,114.877965,40.810576
130800, 承德市 ,117.932881,40.974661
130900, 沧州市 ,116.851693,38.310046
131000, 廊坊市 ,116.698488,39.522804
131100, 衡水市 ,115.660124,37.734473
140100, 太原市 ,112.542926,37.856466
140200, 大同市 ,113.28825,40.089116
140300, 阳泉市 ,113.576876,37.860682
140400, 长治市 ,113.106889,36.190942
140500, 晋城市 ,112.845153,35.497951
140600, 朔州市 ,112.42652,39.330085
140700, 晋中市 ,112.729983,37.695818
140800, 运城市 ,110.998183,35.023543
140900, 忻州市 ,112.726971,38.417109
141000, 临汾市 ,111.511724,36.084246
141100, 吕梁市 ,111.127942,37.523553
150100, 呼和浩特市 ,111.664024,40.816983
150200, 包头市 ,109.834679,40.657004
150300, 乌海市 ,106.82082,39.672819
150400, 赤峰市 ,118.950542,42.273321
150500, 通辽市 ,122.257573,43.615053
150600, 鄂尔多斯市 ,109.984573,39.816144
150700, 呼伦贝尔市 ,119.750789,49.213378
150800, 巴彦淖尔市 ,107.411338,40.755932
150900, 乌兰察布市 ,113.107237,41.032295
152200, 兴安盟 ,122.064125,46.074239
152500, 锡林郭勒盟 ,116.084083,43.941771
152900, 阿拉善盟 ,105.702203,38.844282
210100, 沈阳市 ,123.422947,41.794326
210200, 大连市 ,121.61368,38.913814
210300, 鞍山市 ,122.990147,41.108715
210400, 抚顺市 ,123.915401,41.873858
210500, 本溪市 ,123.764624,41.295811
210600, 丹东市 ,124.37722,40.122711
210700, 锦州市 ,121.1301,41.117205
210800, 营口市 ,122.229971,40.665862
210900, 阜新市 ,121.64361,42.009732
211000, 辽阳市 ,123.175713,41.267249
211100, 盘锦市 ,122.064085,41.122397
211200, 铁岭市 ,123.838408,42.28846
211300, 朝阳市 ,120.445479,41.574461
211400, 葫芦岛市 ,120.851246,40.754116
220100, 长春市 ,125.317994,43.884434
220200, 吉林市 ,126.547314,43.841314
220300, 四平市 ,124.364545,43.16774
220400, 辽源市 ,125.138936,42.900156
220500, 通化市 ,125.930856,41.719026
220600, 白山市 ,126.42198,41.939995
220700, 松原市 ,124.817305,45.116262
220800, 白城市 ,122.835234,45.617109
222400, 延边朝鲜族自治州 ,129.506285,42.902351
230100, 哈尔滨市 ,126.636505,45.755022
230200, 齐齐哈尔市 ,123.95131,47.339996
230300, 鸡西市 ,130.968512,45.297883
230400, 鹤岗市 ,130.26968,47.329679
230500, 双鸭山市 ,131.149173,46.641198
230600, 大庆市 ,125.105665,46.588629
230700, 伊春市 ,128.892379,47.722568
230800, 佳木斯市 ,130.353745,46.807314
230900, 七台河市 ,131.007856,45.769025
231000, 牡丹江市 ,129.611537,44.581008
231100, 黑河市 ,127.49158,50.247857
231200, 绥化市 ,126.986524,46.635444
232700, 大兴安岭地区 ,124.703819,52.333861
310100, 上海市市辖区 ,121.468103,31.233632
320100, 南京市 ,118.76219,32.04358
320200, 无锡市 ,120.297066,31.576634
320300, 徐州市 ,117.179027,34.263002
320400, 常州市 ,119.942283,31.774861
320500, 苏州市 ,120.615411,31.301559
320600, 南通市 ,120.860355,32.018358
320700, 连云港市 ,119.173195,34.600973
320800, 淮安市 ,119.015807,33.598904
320900, 盐城市 ,120.13497,33.379004
